"Œp‘±ŽžŠÔ
(s)","‰Á‘¬“xNS
(cm/s/s)"
0.00 ,-1.4 
0.02 ,-10.8 
0.04 ,-10.1 
0.06 ,-8.8 
0.08 ,-9.5 
0.10 ,-12.0 
0.12 ,-14.2 
0.14 ,-12.8 
0.16 ,-11.0 
0.18 ,-8.5 
0.20 ,-8.5 
0.22 ,-13.1 
0.24 ,-17.6 
0.26 ,-19.4 
0.28 ,-16.2 
0.30 ,-14.4 
0.32 ,-10.8 
0.34 ,-8.2 
0.36 ,-4.2 
0.38 ,-6.6 
0.40 ,-13.1 
0.42 ,-19.0 
0.44 ,-19.6 
0.46 ,-6.6 
0.48 ,3.0 
0.50 ,14.1 
0.52 ,-4.9 
0.54 ,-12.8 
0.56 ,-14.4 
0.58 ,-20.3 
0.60 ,-26.0 
0.62 ,-32.5 
0.64 ,-30.6 
0.66 ,-17.2 
0.68 ,-19.7 
0.70 ,-16.3 
0.72 ,-16.4 
0.74 ,-6.7 
0.76 ,2.5 
0.78 ,15.0 
0.80 ,23.6 
0.82 ,25.2 
0.84 ,33.6 
0.86 ,46.3 
0.88 ,49.2 
0.90 ,41.9 
0.92 ,35.9 
0.94 ,27.1 
0.96 ,23.5 
0.98 ,33.9 
1.00 ,41.2 
1.02 ,53.0 
1.04 ,63.9 
1.06 ,73.2 
1.08 ,65.2 
1.10 ,59.9 
1.12 ,40.0 
1.14 ,40.0 
1.16 ,6.3 
1.18 ,-51.5 
1.20 ,-78.7 
1.22 ,-60.3 
1.24 ,-48.4 
1.26 ,-25.0 
1.28 ,-5.9 
1.30 ,13.4 
1.32 ,30.8 
1.34 ,49.9 
1.36 ,71.0 
1.38 ,99.5 
1.40 ,121.9 
1.42 ,152.9 
1.44 ,144.9 
1.46 ,115.5 
1.48 ,93.5 
1.50 ,89.2 
1.52 ,92.6 
1.54 ,83.9 
1.56 ,90.1 
1.58 ,99.3 
1.60 ,120.9 
1.62 ,32.8 
1.64 ,-147.5 
1.66 ,-206.6 
1.68 ,-198.9 
1.70 ,-203.4 
1.72 ,-181.6 
1.74 ,-172.5 
1.76 ,-175.2 
1.78 ,-175.3 
1.80 ,-180.5 
1.82 ,-163.0 
1.84 ,-134.7 
1.86 ,-108.7 
1.88 ,-78.2 
1.90 ,-42.9 
1.92 ,-1.7 
1.94 ,36.0 
1.96 ,78.5 
1.98 ,116.4 
2.00 ,159.8 
2.02 ,196.0 
2.04 ,241.2 
2.06 ,272.9 
2.08 ,303.6 
2.10 ,320.0 
2.12 ,341.7 
2.14 ,282.1 
2.16 ,232.4 
2.18 ,-119.8 
2.20 ,-237.3 
2.22 ,-164.0 
2.24 ,-186.5 
2.26 ,-109.5 
2.28 ,-75.3 
2.30 ,-17.3 
2.32 ,11.3 
2.34 ,53.3 
2.36 ,89.5 
2.38 ,118.6 
2.40 ,175.7 
2.42 ,57.6 
2.44 ,-263.1 
2.46 ,-154.7 
2.48 ,-172.9 
2.50 ,-101.2 
2.52 ,-57.9 
2.54 ,23.7 
2.56 ,-67.0 
2.58 ,-198.0 
2.60 ,-164.1 
2.62 ,-168.5 
2.64 ,-148.1 
2.66 ,-123.1 
2.68 ,-100.1 
2.70 ,-75.1 
2.72 ,-52.3 
2.74 ,-27.1 
2.76 ,-4.4 
2.78 ,18.8 
2.80 ,-9.5 
2.82 ,-43.3 
2.84 ,-83.8 
2.86 ,-95.1 
2.88 ,-71.6 
2.90 ,-59.9 
2.92 ,-33.4 
2.94 ,-10.8 
2.96 ,18.5 
2.98 ,42.0 
3.00 ,67.3 
3.02 ,-9.7 
3.04 ,-37.2 
3.06 ,-4.0 
3.08 ,1.1 
3.10 ,34.4 
3.12 ,56.5 
3.14 ,88.3 
3.16 ,113.0 
3.18 ,136.3 
3.20 ,21.9 
3.22 ,24.1 
3.24 ,68.3 
3.26 ,68.9 
3.28 ,131.8 
3.30 ,135.3 
3.32 ,204.0 
3.34 ,-93.1 
3.36 ,-130.8 
3.38 ,-69.2 
3.40 ,-54.6 
3.42 ,7.2 
3.44 ,67.5 
3.46 ,-106.7 
3.48 ,-148.8 
3.50 ,-107.1 
3.52 ,-116.2 
3.54 ,-76.2 
3.56 ,-55.9 
3.58 ,-21.5 
3.60 ,-12.6 
3.62 ,-67.4 
3.64 ,-32.4 
3.66 ,-33.7 
3.68 ,-10.9 
3.70 ,1.7 
3.72 ,29.9 
3.74 ,48.8 
3.76 ,60.8 
3.78 ,22.2 
3.80 ,-3.2 
3.82 ,-24.5 
3.84 ,7.7 
3.86 ,21.1 
3.88 ,56.8 
3.90 ,82.6 
3.92 ,120.6 
3.94 ,147.8 
3.96 ,173.7 
3.98 ,42.1 
4.00 ,2.9 
4.02 ,25.9 
4.04 ,29.3 
4.06 ,-5.5 
4.08 ,-14.7 
4.10 ,14.3 
4.12 ,20.6 
4.14 ,49.9 
4.16 ,64.5 
4.18 ,95.7 
4.20 ,112.8 
4.22 ,144.7 
4.24 ,162.9 
4.26 ,194.5 
4.28 ,185.6 
4.30 ,198.4 
4.32 ,176.9 
4.34 ,125.0 
4.36 ,-120.7 
4.38 ,-54.2 
4.40 ,-38.4 
4.42 ,-31.1 
4.44 ,-111.8 
4.46 ,-166.1 
4.48 ,-246.4 
4.50 ,-202.5 
4.52 ,-183.5 
4.54 ,-131.7 
4.56 ,-96.0 
4.58 ,-32.5 
4.60 ,15.4 
4.62 ,81.6 
4.64 ,131.9 
4.66 ,181.8 
4.68 ,-5.8 
4.70 ,-16.9 
4.72 ,28.5 
4.74 ,44.7 
4.76 ,98.3 
4.78 ,142.4 
4.80 ,185.3 
4.82 ,245.6 
4.84 ,168.5 
4.86 ,-138.0 
4.88 ,-99.9 
4.90 ,-108.9 
4.92 ,-90.7 
4.94 ,-46.9 
4.96 ,-125.0 
4.98 ,-211.1 
5.00 ,-161.7 
5.02 ,-169.2 
5.04 ,-130.6 
5.06 ,-111.1 
5.08 ,-77.3 
5.10 ,-51.0 
5.12 ,-54.4 
5.14 ,-120.0 
5.16 ,-120.9 
5.18 ,-115.8 
5.20 ,-114.5 
5.22 ,-71.7 
5.24 ,-54.6 
5.26 ,6.4 
5.28 ,-80.4 
5.30 ,-163.4 
5.32 ,-85.9 
5.34 ,-96.1 
5.36 ,-39.6 
5.38 ,-14.7 
5.40 ,31.9 
5.42 ,64.8 
5.44 ,87.6 
5.46 ,47.2 
5.48 ,19.8 
5.50 ,-2.7 
5.52 ,29.2 
5.54 ,44.5 
5.56 ,78.5 
5.58 ,103.3 
5.60 ,135.2 
5.62 ,160.6 
5.64 ,186.1 
5.66 ,128.1 
5.68 ,64.0 
5.70 ,20.4 
5.72 ,31.4 
5.74 ,37.3 
5.76 ,49.6 
5.78 ,23.5 
5.80 ,-8.4 
5.82 ,-16.8 
5.84 ,-11.3 
5.86 ,-22.9 
5.88 ,-24.8 
5.90 ,-15.7 
5.92 ,-6.9 
5.94 ,14.7 
5.96 ,37.9 
5.98 ,57.9 
6.00 ,25.5 
6.02 ,-4.1 
6.04 ,-42.8 
6.06 ,-13.3 
6.08 ,9.5 
6.10 ,23.0 
6.12 ,-12.9 
6.14 ,-5.0 
6.16 ,8.0 
6.18 ,21.0 
6.20 ,38.0 
6.22 ,51.0 
6.24 ,15.7 
6.26 ,-3.2 
6.28 ,-11.1 
6.30 ,0.5 
6.32 ,7.6 
6.34 ,3.5 
6.36 ,-9.5 
6.38 ,-3.6 
6.40 ,-1.6 
6.42 ,3.8 
6.44 ,8.5 
6.46 ,-5.6 
6.48 ,-30.4 
6.50 ,-42.1 
6.52 ,-24.4 
6.54 ,-23.6 
6.56 ,-17.7 
6.58 ,-12.9 
6.60 ,-1.8 
6.62 ,20.3 
6.64 ,-10.8 
6.66 ,-9.1 
6.68 ,-3.4 
6.70 ,-10.6 
6.72 ,-11.1 
6.74 ,-9.9 
6.76 ,-0.2 
6.78 ,7.3 
6.80 ,23.5 
6.82 ,35.5 
6.84 ,70.5 
6.86 ,77.9 
6.88 ,18.4 
6.90 ,-26.3 
6.92 ,-12.4 
6.94 ,-4.2 
6.96 ,15.9 
6.98 ,4.8 
7.00 ,-21.9 
7.02 ,-46.7 
7.04 ,-42.8 
7.06 ,-21.6 
7.08 ,-4.3 
7.10 ,15.9 
7.12 ,32.0 
7.14 ,41.9 
7.16 ,12.3 
7.18 ,-16.0 
7.20 ,-20.4 
7.22 ,-8.2 
7.24 ,-20.6 
7.26 ,-13.7 
7.28 ,-5.5 
7.30 ,5.3 
7.32 ,13.4 
7.34 ,26.6 
7.36 ,23.2 
7.38 ,7.9 
7.40 ,-0.8 
7.42 ,20.0 
7.44 ,43.5 
7.46 ,49.2 
7.48 ,19.1 
7.50 ,9.2 
7.52 ,-2.2 
7.54 ,-2.1 
7.56 ,5.2 
7.58 ,9.3 
7.60 ,25.5 
7.62 ,36.8 
7.64 ,52.5 
7.66 ,54.1 
7.68 ,42.5 
7.70 ,39.8 
7.72 ,55.9 
7.74 ,75.6 
7.76 ,36.5 
7.78 ,41.1 
7.80 ,9.8 
7.82 ,-20.4 
7.84 ,-24.9 
7.86 ,-40.5 
7.88 ,-41.3 
7.90 ,-47.1 
7.92 ,-43.3 
7.94 ,-45.8 
7.96 ,-5.7 
7.98 ,17.8 
8.00 ,-20.8 
8.02 ,-49.2 
8.04 ,-53.0 
8.06 ,-36.2 
8.08 ,-40.5 
8.10 ,-30.8 
8.12 ,-31.6 
8.14 ,-26.5 
8.16 ,-26.5 
8.18 ,-26.9 
8.20 ,-34.5 
8.22 ,-30.9 
8.24 ,-21.7 
8.26 ,-7.8 
8.28 ,8.7 
8.30 ,28.1 
8.32 ,31.0 
8.34 ,35.8 
8.36 ,34.1 
8.38 ,35.8 
8.40 ,28.7 
8.42 ,30.5 
8.44 ,11.2 
8.46 ,21.4 
8.48 ,13.6 
8.50 ,38.4 
8.52 ,-86.1 
8.54 ,-134.9 
8.56 ,-134.2 
8.58 ,-135.4 
8.60 ,-119.3 
8.62 ,-104.2 
8.64 ,-82.9 
8.66 ,-65.1 
8.68 ,-44.4 
8.70 ,-25.8 
8.72 ,-6.0 
8.74 ,-9.1 
8.76 ,-18.2 
8.78 ,-14.7 
8.80 ,8.5 
8.82 ,16.3 
8.84 ,5.0 
8.86 ,26.4 
8.88 ,58.2 
8.90 ,86.7 
8.92 ,120.0 
8.94 ,169.5 
8.96 ,111.1 
8.98 ,-110.0 
9.00 ,-36.6 
9.02 ,-44.5 
9.04 ,-23.6 
9.06 ,-96.0 
9.08 ,-65.6 
9.10 ,-59.7 
9.12 ,-67.0 
9.14 ,-55.2 
9.16 ,-2.7 
9.18 ,37.8 
